Species,DFT_Energies
Al-slab-Olayer1,-1430.7635747
Al-slab-Olayer2,-1559.7900866
Al-slab-Olayer4,-1954.1857893999997
Al2O3-O,-2019.2065265
Al2O3-O2,-2024.0644945000001
Al2O3-Olayer1,-2287.4892043
Al2O3-Olayer2,-2307.5286183
Al2O3-Olayer4,-2660.4026486
Al2O3-trigonal,-2059.1221265
AlO-1,-1054.0159509
AlO-2,-1054.2012531
Ni-slab-Olayer1,-1472.6895995
Ni-slab-Olayer2,-1626.6472377999999
Ni-slab-Olayer4,-1812.8332298999999
NiAlO-1,-1216.7957752999998
NiAlO-2,-1216.627116
NiO-1,-1275.6805927999999
NiO-2,-1275.6928541999998
NiO-Slab,827.4314026000001
NiO-Slab-O,-1104.5589989
NiO-Slab-O2,-1038.2675565
O,0.0467325
O2,-8.4076446
O2-short,-4.8738608
O4-1,-11.9113871
O4-2,16.3956192
O4-3,-16.8644798
PureAl,-1046.9883554
PureAl2O3,-228.7899971
PureNi,-1270.8401717000002
PureNiAl,-1211.6867949
PureNiO,-259.2638409
SlabAl,-992.6326854
SlabAlO-1,-1001.0391913999999
SlabAlO-2,-1001.8367955
SlabAlO2-1,-1010.1467023
SlabAlO2-2,-1009.5500556
SlabAlO2-s1,-1005.5906247
SlabAlO2-s10,-1002.3707082999999
SlabAlO2-s11,-1002.3294245000001
SlabAlO2-s12,-1001.8631977
SlabAlO2-s13,-1001.5633547
SlabAlO2-s14,-1001.1680129
SlabAlO2-s15,-1001.0326137
SlabAlO2-s16,-1000.9856132
SlabAlO2-s17,-995.848348
SlabAlO2-s18,-998.9081292000001
SlabAlO2-s19,-999.5795328
SlabAlO2-s2,-1005.1467503
SlabAlO2-s20,-999.8796897
SlabAlO2-s21,-999.9537158
SlabAlO2-s22,-999.7585347
SlabAlO2-s23,-999.6602267
SlabAlO2-s24,-999.6264921000001
SlabAlO2-s3,-1003.2526402
SlabAlO2-s4,-1001.6037816999999
SlabAlO2-s5,-1000.4252071
SlabAlO2-s6,-999.4160096999999
SlabAlO2-s7,-999.1337227
SlabAlO2-s8,-999.0328136999999
SlabAlO2-s9,-999.7801172999999
SlabNi,-1414.4677002
SlabNiO-1,-1422.08462
SlabNiO-2,-1422.0787920999999
SlabNiO2-1,-1424.3520179000002
SlabNiO2-2,-1426.1059225
SlabNiO2-p1,-1422.9751282
SlabNiO2-s01,-1422.9965417
SlabNiO2-s02,-1424.1331473999999
SlabNiO2-s03,-1423.282519
SlabNiO2-s04,-1422.3392356
SlabNiO2-s05,-1421.828833
SlabNiO2-s06,-1421.4478771
SlabNiO2-s07,-1421.3367146
SlabNiO2-s08,-1421.2936734
SlabNiO2-s11,-1421.2616686000001
SlabNiO2-s12,-1423.5862946
SlabNiO2-s13,-1423.2672039000001
SlabNiO2-s14,-1422.7610226
SlabNiO2-s15,-1422.4688385
SlabNiO2-s16,-1422.2133277
SlabNiO2-s17,-1422.1308706
SlabNiO2-s18,-1422.1000331
SlabNiO2-s21,-1418.0062388000001
SlabNiO2-s22,-1421.0388510999999
SlabNiO2-s23,-1421.3654927999999
SlabNiO2-s24,-1421.3187671
SlabNiO2-s25,-1421.2172493
SlabNiO2-s26,-1421.0438772
SlabNiO2-s27,-1420.9728440000001
SlabNiO2-s28,-1420.9458860999998
