Species,V
Al-slab-Olayer1,-423.1202130772239
Al-slab-Olayer2,-561.919299235752
Al2O3-O,-1557.42900829201
Al2O3-O2,-1562.4894150145583
Al2O3-Olayer1,-1828.294318816091
Al2O3-Olayer2,-1855.4297263182898
Al2O3-trigonal,-1578.1833974183646
AlO-1,-6.937203898613954
AlO-2,-6.876576341846014
Ni-slab-Olayer1,-266.8082576443198
Ni-slab-Olayer2,-433.13430966601993
Ni-slab-Olayer4,-651.51738280423
NiAlO-1,-4.527449024599757
NiAlO-2,-4.5685643555898805
NiO-1,-4.839215171939979
NiO-2,-4.315219778420025
NiO-Slab-O,-285.9724208675641
NiO-Slab-O2,-203.92966620293902
O2,-8.547842099999999
O2-short,-5.0140583
O4-1,-12.1450496
O4-2,16.161956699999998
O4-3,-17.098142300000003
PureAl2O3,-175.35222090301755
PureNiO,364.2515166880957
SlabAlO-1,-8.09459373109386
SlabAlO-2,-9.072160532116905
SlabAlO2-1,-17.056452199570987
SlabAlO2-2,-15.505553629793855
SlabAlO2-s1,-13.45543627133596
SlabAlO2-s10,-10.235519871335859
SlabAlO2-s11,-10.194236071335999
SlabAlO2-s12,-9.728009271335926
SlabAlO2-s13,-9.428166271335916
SlabAlO2-s14,-9.032824471335934
SlabAlO2-s15,-8.897425271335882
SlabAlO2-s16,-8.850424771335915
SlabAlO2-s17,-3.713159571335913
SlabAlO2-s18,-6.7729407713360015
SlabAlO2-s19,-7.444344371335964
SlabAlO2-s2,-13.011561871335934
SlabAlO2-s20,-7.744501271335897
SlabAlO2-s21,-7.81852737133598
SlabAlO2-s22,-7.623346271335967
SlabAlO2-s23,-7.5250382713358785
SlabAlO2-s24,-7.49130367133599
SlabAlO2-s3,-11.1174517713359
SlabAlO2-s4,-9.468593271335825
SlabAlO2-s5,-8.290018671335892
SlabAlO2-s6,-7.28082127133583
SlabAlO2-s7,-6.998534271335947
SlabAlO2-s8,-6.897625271335832
SlabAlO2-s9,-7.644928871335841
SlabNiO-1,-7.616143258340155
SlabNiO-2,-7.555203563759771
SlabNiO2-1,-7.619590680430141
SlabNiO2-2,-12.044779202589856
SlabNiO2-p1,-10.231074141749863
SlabNiO2-s01,-10.25248764174997
SlabNiO2-s02,-11.389093341749762
SlabNiO2-s03,-10.538464941749984
SlabNiO2-s04,-9.59518154174983
SlabNiO2-s05,-9.084778941749923
SlabNiO2-s06,-8.703823041749805
SlabNiO2-s07,-8.592660541749941
SlabNiO2-s08,-8.54961934174988
SlabNiO2-s11,-8.517614541750012
SlabNiO2-s12,-10.842240541749865
SlabNiO2-s13,-10.523149841750032
SlabNiO2-s14,-10.016968541749824
SlabNiO2-s15,-9.724784441749838
SlabNiO2-s16,-9.469273641749927
SlabNiO2-s17,-9.386816541749871
SlabNiO2-s18,-9.35597904174991
SlabNiO2-s21,-5.26218474175001
SlabNiO2-s22,-8.294797041749765
SlabNiO2-s23,-8.621438741749747
SlabNiO2-s24,-8.57471304174995
SlabNiO2-s25,-8.47319524174994
SlabNiO2-s26,-8.299823141749888
SlabNiO2-s27,-8.228789941750014
SlabNiO2-s28,-8.201832041749716
