Species,V2
Al-slab-Olayer1,-459.1233255227759
Al-slab-Olayer2,-584.359023164248
Al2O3-O,-1645.3908236508469
Al2O3-O2,-1650.1398179282996
Al2O3-Olayer1,-1916.9791637267663
Al2O3-Olayer2,-1935.9043442245668
Al2O3-trigonal,-1671.8057607128853
AlO-1,-7.21145210138593
AlO-2,-7.642684058153918
Ni-slab-Olayer1,-276.0651409556799
Ni-slab-Olayer2,-451.3575255339797
NiAlO-1,-6.996896775399819
NiAlO-2,-6.6105428444097925
NiO-1,-6.186732028059851
NiO-2,-6.774010221580056
NiO-Slab,-767.607856759085
NiO-supercell,-757.4169859547521
O2,-8.547842099999999
O2-short,-5.0140583
O4-1,-12.1450496
O4-2,16.161956699999998
O4-3,-17.098142300000003
PureAl2O3,-185.75498497823241
SlabAlO-1,-8.811883268905945
SlabAlO-2,-9.429524667883015
SlabAlO2-1,-18.15851160042905
SlabAlO2-2,-18.516116770206054
SlabAlO2-s1,-12.647372328664119
SlabAlO2-s10,-9.427455928664017
SlabAlO2-s11,-9.386172128664157
SlabAlO2-s12,-8.919945328664085
SlabAlO2-s13,-8.620102328664075
SlabAlO2-s17,-2.9050956286640712
SlabAlO2-s18,-5.96487682866416
SlabAlO2-s19,-6.636280428664122
SlabAlO2-s2,-12.203497928664092
SlabAlO2-s20,-6.936437328664056
SlabAlO2-s21,-7.0104634286641385
SlabAlO2-s3,-10.309387828664057
SlabAlO2-s4,-8.660529328663984
SlabAlO2-s5,-7.48195472866405
SlabAlO2-s9,-6.836864928663999
SlabNiO-1,-7.7111613416598175
SlabNiO-2,-7.760445236239775
SlabNiO2-1,-12.335974719570004
SlabNiO2-2,-11.418595397409717
SlabNiO2-p1,-6.970711858249842
SlabNiO2-s01,-6.99212535824995
SlabNiO2-s02,-8.128731058249741
SlabNiO2-s03,-7.2781026582499635
SlabNiO2-s04,-6.334819258249809
SlabNiO2-s05,-5.824416658249902
SlabNiO2-s06,-5.443460758249785
SlabNiO2-s07,-5.332298258249921
SlabNiO2-s08,-5.289257058249859
SlabNiO2-s11,-5.257252258249991
SlabNiO2-s12,-7.581878258249844
SlabNiO2-s13,-7.262787558250011
SlabNiO2-s14,-6.756606258249803
SlabNiO2-s15,-6.464422158249818
SlabNiO2-s16,-6.208911358249907
SlabNiO2-s17,-6.126454258249851
SlabNiO2-s18,-6.095616758249889
SlabNiO2-s21,-2.0018224582499897
SlabNiO2-s22,-5.034434758249745
SlabNiO2-s23,-5.361076458249727
SlabNiO2-s24,-5.31435075824993
SlabNiO2-s25,-5.212832958249919
SlabNiO2-s26,-5.039460858249868
SlabNiO2-s27,-4.968427658249993
SlabNiO2-s28,-4.941469758249696
